id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source,address
ChdDSUhNMG9nS0VJQ0FnSUNLM3VfZ3J3RRAB,Fast checkout. Friendly service,2 weeks ago,2021-04-23 02:59:03.521293,5.0,Jamie Donovan,0,0,https://www.google.com/maps/contrib/117652957776786633352/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSURTd3RucmFREAE,,4 months ago,2021-04-23 02:59:03.524259,5.0,Neeraj Diwan,6,0,https://www.google.com/maps/contrib/103409854611081398207/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSURDOXEyYWFREAE,,6 months ago,2021-04-23 02:59:03.527287,5.0,Jonathan Kellerman,5,0,https://www.google.com/maps/contrib/104714912113084086822/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSURDOXEzaXJnRRAB,,6 months ago,2021-04-23 02:59:03.529260,5.0,Matthew Godfrey,15,0,https://www.google.com/maps/contrib/101487247123060907099/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSURDNHRxSzZ3RRAB,"Ryann D., in the Torrington store, is the best. We had a problem with our cards and coupon redemption. She was more than helpful with correcting the problem, part of which was our error. She is truly a huge asset to BJ’s customer service and reputation.",7 months ago,2021-04-23 02:59:03.533262,4.0,Moe Doyle,6,0,https://www.google.com/maps/contrib/109950523838570993775/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSUNDZ2FMZUlBEAE,,7 months ago,2021-04-23 02:59:03.538293,4.0,John DiCostanzo,0,0,https://www.google.com/maps/contrib/111708403817740022224/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSUM4LXJqdEVnEAE,"Visiting BJ's today brings some anxiety due to Covid19. I wore my mask , retrieved a cart knowing that inside the door I could wipe it down. The last time I was there an employee at the door told me that the wipes were not the same as the …",9 months ago,2021-04-23 02:59:03.541262,2.0,Mary Hyde,1,0,https://www.google.com/maps/contrib/114466929772327149086/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSUNjaDlIMFh3EAE,"Shawn (assistant manager?) was unprofessional and very difficult to deal with. Could not provide answers to follow up questions i asked him. Will not return to this store, and will be cancelling my membership.",a year ago,2021-04-23 02:59:03.545259,1.0,Peter L,0,0,https://www.google.com/maps/contrib/117627914556292280755/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSUNzMGIzVXN3RRAB,,a year ago,2021-04-23 02:59:03.548259,5.0,Ora Currier,0,0,https://www.google.com/maps/contrib/107143060176725724103/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSURNa2ZyYy13RRAB,Gas pumps are slow,a year ago,2021-04-23 02:59:03.552298,2.0,Marcia Brown,2,0,https://www.google.com/maps/contrib/111584800646101251029/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSURNeXVIM1N3EAE,,a year ago,2021-04-23 02:59:03.555265,5.0,William Walker,0,0,https://www.google.com/maps/contrib/104741462948387354305/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSUQwbE5yV3FRRRAB,Excellent warehouse club. A+++++++ all the way !!!!!,a year ago,2021-04-23 02:59:03.558260,5.0,Tom Flynn,12,0,https://www.google.com/maps/contrib/105281413665597532120/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSUNrNGUzUy1BRRAB,,a year ago,2021-04-23 02:59:03.561259,4.0,James Brown,0,0,https://www.google.com/maps/contrib/114790705625731276495/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSURZdk9Del93RRAB,Blasted sonic movie trailer 👀,a year ago,2021-04-23 02:59:03.564257,5.0,Jilvenhong Dickinson,1,0,https://www.google.com/maps/contrib/107638576871569719462/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSURZdEltRGRREAE,,a year ago,2021-04-23 02:59:03.568287,5.0,Pablo Antonetty,0,0,https://www.google.com/maps/contrib/111924972749341090868/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSUR3aXQtMjdnRRAB,Good place for bulk purchases Friendly staff Good quality products,2 years ago,2021-04-23 02:59:03.572313,4.0,Ric Shotwell,0,0,https://www.google.com/maps/contrib/108794328185218216403/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSUNZa19LclRBEAE,,2 years ago,2021-04-23 02:59:03.575748,4.0,Yvonne Gundersen,2,0,https://www.google.com/maps/contrib/109185785929082906731/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSUNZdzlXdV9BRRAB,,2 years ago,2021-04-23 02:59:03.578717,5.0,David Hill,3,0,https://www.google.com/maps/contrib/109737337350524918651/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSUNZcGRLVktREAE,,2 years ago,2021-04-23 02:59:03.580718,5.0,Essential Organizing,5,0,https://www.google.com/maps/contrib/105731251174987871654/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSUNZMmJXZUpBEAE,BJ's is Great anytime you want to spend $100.,2 years ago,2021-04-23 02:59:03.584719,5.0,phil gerardo,42,0,https://www.google.com/maps/contrib/102411259505665319548/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChZDSUhNMG9nS0VJQ0FnSUNZMFotamRBEAE,,2 years ago,2021-04-23 02:59:29.858129,5.0,Tammy Morgan,74,0,https://www.google.com/maps/contrib/100373528738605226966/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
ChdDSUhNMG9nS0VJQ0FnSUNZNFliaTZRRRAB,,2 years ago,2021-04-23 02:59:29.861130,5.0,Donna Prout,13,0,https://www.google.com/maps/contrib/112623908087598107536/reviews?hl=en-US,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.814953,-73.0941027,17z/data=!3m2!4b1!5s0x89e7989f1756c4b3:0xb7ddae4deb8d1c77!4m5!3m4!1s0x89e7989f1dd56257:0xe67e311cd69ac902!8m2!3d41.814953!4d-73.09191","1280 E Main St, Torrington, CT 06790"
