id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source,address
ChdDSUhNMG9nS0VJQ0FnSURLcmJhRF9RRRAB,,a month ago,2021-06-17 10:52:40.925726,5.0,Moe,0,0,https://www.google.com/maps/contrib/103951299841739667888/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURJeFBHdlJnEAE,Store manager is super rude and he disrespected an employee right on sales floor. If I could I'd rate zero stars.,a month ago,2021-06-17 10:52:40.929731,1.0,Jazhua Vanboven,0,0,https://www.google.com/maps/contrib/114651966323788575360/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURLcFoyYVBREAE,,a month ago,2021-06-17 10:52:40.934729,4.0,Luis Sandoval,0,0,https://www.google.com/maps/contrib/106350279329243193861/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURLLWJhQ0FnEAE,Quick and easy checkout!,a month ago,2021-06-17 10:52:40.938726,5.0,Karla Richardson,0,0,https://www.google.com/maps/contrib/109651612096298007621/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURLX3JYemNREAE,"Store was well stocked. Everyone was helpful. Some things were changed around, but we found what we were looking for. Sam's has the best Prime rib eye steaks ever. Very thick and tasty",a month ago,2021-06-17 10:52:40.942758,5.0,Libby Clough,0,0,https://www.google.com/maps/contrib/104310587873962278724/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURDczU3ZkNnEAE,,a month ago,2021-06-17 10:52:40.946730,5.0,Lisa Simmons,0,0,https://www.google.com/maps/contrib/101474185018916191882/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSURLMXNPWGh3RRAB,As usual Sam's club is z best,a month ago,2021-06-17 10:52:40.951761,5.0,Bashir Mezher,0,0,https://www.google.com/maps/contrib/113021810995512567483/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSURLeHQ2V213RRAB,,a month ago,2021-06-17 10:52:40.955727,3.0,Tony Derin,0,0,https://www.google.com/maps/contrib/109325105109030906229/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSURLc3E3YW1RRRAB,Sam's stopped Sr early hours on Thursdays Without ANY notice..not good PR for your older customers.,a month ago,2021-06-17 10:53:07.269044,2.0,Elaine Aten,0,0,https://www.google.com/maps/contrib/109414945477000660383/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSURLa3JtUnlRRRAB,,a month ago,2021-06-17 10:53:07.273008,5.0,Chante' Fogle,0,0,https://www.google.com/maps/contrib/107333831077218294897/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSURLZ3VTWDZnRRAB,Great prices but not always good with consistent inventory.,a month ago,2021-06-17 10:53:07.277008,4.0,Alex Stout,0,0,https://www.google.com/maps/contrib/112555680243124007484/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURLblBITlJREAE,,a month ago,2021-06-17 10:53:07.282006,4.0,Ernest Hunter,0,0,https://www.google.com/maps/contrib/109277097976883855243/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUM4M0lLazlnRRAB,,a month ago,2021-06-17 10:53:07.288043,5.0,Natasha Treleaven,0,0,https://www.google.com/maps/contrib/114440140159027886926/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSURLNUszQ293RRAB,Excellent customer service if you have to return anything just keep your receipt or get Sam's store card.,a month ago,2021-06-17 10:53:07.291007,5.0,Glenda Robertson,0,0,https://www.google.com/maps/contrib/105657715320077377398/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURLNk5IMlRBEAE,,a month ago,2021-06-17 10:53:07.296009,4.0,Monica Wheeler,0,0,https://www.google.com/maps/contrib/111160929842885879226/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURLZ0tybU5BEAE,,a month ago,2021-06-17 10:53:07.300009,4.0,MrsCharlie Bailey,0,0,https://www.google.com/maps/contrib/102961046717500804977/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSURvN3JIdWN3EAE,,a month ago,2021-06-17 10:53:07.305007,5.0,jim wittkamp,0,0,https://www.google.com/maps/contrib/100354028805770340561/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNLcjhXeXdBRRAB,"Great people, everything you need and more",a month ago,2021-06-17 10:53:07.309041,5.0,Anthony Barrett,0,0,https://www.google.com/maps/contrib/101276687519753158725/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLejhuN053EAE,😃😆😍😆👋,a month ago,2021-06-17 10:53:33.689677,5.0,Jeanette Beckwith,0,0,https://www.google.com/maps/contrib/105416302434806841823/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLbTlxeGZREAE,,a month ago,2021-06-17 10:53:33.693677,5.0,cecilia loza,0,0,https://www.google.com/maps/contrib/107064825225259699003/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLbTRxX1VBEAE,Haven't been to the Annapolis Sam's club in a while but found something that they other Sam's club didn't have,a month ago,2021-06-17 10:53:33.697704,5.0,Gayle Mcmanus,0,0,https://www.google.com/maps/contrib/105953832743074336120/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLaTRfNE5nEAE,,a month ago,2021-06-17 10:53:33.701704,5.0,Lalo Euseda,0,0,https://www.google.com/maps/contrib/111384551214780860157/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNLczd1VHJnRRAB,,a month ago,2021-06-17 10:53:33.705678,5.0,Theresa Lewis,0,0,https://www.google.com/maps/contrib/117152558809762677983/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNLdlppdHZBRRAB,,2 months ago,2021-06-17 10:53:33.709678,5.0,Kiera Smith,0,0,https://www.google.com/maps/contrib/108722426863780612810/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLZ2UtYUdBEAE,,2 months ago,2021-06-17 10:53:33.714682,4.0,Cristal Lopez,0,0,https://www.google.com/maps/contrib/107194096492531434266/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNLMXRtejZnRRAB,,2 months ago,2021-06-17 10:53:33.719718,5.0,D.P.,0,0,https://www.google.com/maps/contrib/101309029374866458836/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLcHUtRVRBEAE,,2 months ago,2021-06-17 10:53:33.723675,4.0,Vilma Barahona,0,0,https://www.google.com/maps/contrib/102164991539900918006/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLcHB1bGF3EAE,,2 months ago,2021-06-17 10:53:33.726711,5.0,Sophia Lee,0,0,https://www.google.com/maps/contrib/107408008925019622979/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUNLcEpuMDJ3RRAB,"This store is always incredibly busy, poorly staffed, lines backed up for check out, lines to get out the door after check out, madness in the parking lot, extreme madness at the gas station. I only go here for the cheap gas, but genuinely hate shopping in store.",2 months ago,2021-06-17 10:54:00.219650,2.0,Alyssa Witte,0,0,https://www.google.com/maps/contrib/103406279420141606975/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChZDSUhNMG9nS0VJQ0FnSUNLd09fT0x3EAE,,2 months ago,2021-06-17 10:54:00.224664,5.0,Taiwo Tinuola,0,0,https://www.google.com/maps/contrib/109584704953725987382/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUR5cjVtam9BRRAB,"All I can tell you is to get the app and do ""scan and go."" It saves time in the check out line and allows you to see exactly what you are spending as you go through the store, thus helping to stay within your budget or figure out how you …",2 months ago,2021-06-17 10:54:00.230654,5.0,jennifer sterling,0,0,https://www.google.com/maps/contrib/104909207309973231780/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUR5ajZPNjJ3RRAB,,2 months ago,2021-06-17 10:54:00.238256,5.0,Shannon Williams,0,0,https://www.google.com/maps/contrib/113391498295713660343/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
ChdDSUhNMG9nS0VJQ0FnSUR5OThtY3pRRRAB,we found what we needed!,2 months ago,2021-06-17 10:54:00.243282,4.0,Eric Planck,0,0,https://www.google.com/maps/contrib/105528346739723344012/reviews?hl=en-US,"https://www.google.com/maps/place/Sam's+Club/@38.9891019,-76.5540962,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f12b7dbe414d:0x955103d6adef5fc1!8m2!3d38.9891019!4d-76.551907","2100 Generals Hwy, Annapolis, MD 21401"
